"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Tot Deaths/
1M pop"
North Macedonia,219,,3,,3,213,1,105,1
Norway,"3,771",,19,,7,"3,745",70,696,4
Oman,131,,,,23,108,,26,
Pakistan,"1,373",,11,,23,"1,339",7,6,0.05
Palestine,91,,1,,17,73,,18,0.2
Panama,786,,14,,2,770,20,182,3
Papua New Guinea,1,,,,,1,,0.1,
Paraguay,56,+4,3,,1,52,1,8,0.4
Peru,635,,11,,16,608,21,19,0.3
Philippines,803,,54,,31,718,1,7,0.5
Poland,"1,389",,16,,7,"1,366",3,37,0.4
Portugal,"4,268",,76,,43,"4,149",71,419,7
Qatar,562,,,,43,519,6,195,
Romania,"1,292",,26,,115,"1,151",32,67,1
Russia,"1,036",,4,,45,987,8,7,0.03
Rwanda,54,,,,,54,,4,
Réunion,145,,,,1,144,,162,
S. Korea,"9,478",+146,144,+5,"4,811","4,523",59,185,3
Saint Kitts and Nevis,2,,,,,2,,38,
Saint Lucia,3,,,,1,2,,16,
Saint Martin,11,,,,,11,,284,
San Marino,223,,21,,6,196,15,"6,572",619
Saudi Arabia,"1,104",,3,,35,"1,066",6,32,0.09
Senegal,119,,,,11,108,,7,
Serbia,528,,8,,42,478,25,60,0.9
Seychelles,7,,,,,7,,71,
Singapore,732,,2,,183,547,17,125,0.3
Sint Maarten,3,,,,,3,,70,
Slovakia,269,,,,2,267,1,49,
Slovenia,632,,9,,10,613,14,304,4
Somalia,3,,,,,3,,0.2,
South Africa,"1,170",,1,,31,"1,138",7,20,0.02
Spain,"65,719",,"5,138",,"9,357","51,224","4,165","1,406",110
Sri Lanka,106,,,,7,99,5,5,
St. Barth,5,,,,,5,,506,
St. Vincent Grenadines,1,,,,,1,,9,
Sudan,5,+2,1,,,4,,0.1,0.02
Suriname,8,,,,,8,,14,
Sweden,"3,069",,105,,16,"2,948",214,304,10
Switzerland,"12,928",,231,,"1,530","11,167",203,"1,494",27
Syria,5,,,,,5,,0.3,
Taiwan,267,,2,,30,235,,11,0.08
Tanzania,13,,,,1,12,,0.2,
Thailand,"1,136",,5,,97,"1,034",11,16,0.07
Timor-Leste,1,,,,,1,,0.8,
Togo,25,,1,,1,23,,3,0.1
Trinidad and Tobago,66,,2,,1,63,,47,1
Tunisia,227,,7,,2,218,10,19,0.6
Turkey,"5,698",,92,,42,"5,564",241,68,1
Turks and Caicos,2,,,,,2,,52,
UAE,405,,2,,52,351,2,41,0.2
Uganda,23,,,,,23,,0.5,
UK,"14,543",,759,,135,"13,649",163,214,11
Ukraine,310,,5,,5,300,,7,0.1
Uruguay,274,+36,,,,274,8,79,
USA,"104,205",+79,"1,701",+5,"2,525","99,979","2,494",315,5
Uzbekistan,88,,1,,5,82,8,3,0.03
Vatican City,4,,,,,4,,"4,994",
Venezuela,113,,2,,31,80,2,4,0.07
Vietnam,169,+6,,,20,149,3,2,
Zambia,22,,,,,22,,1,
Zimbabwe,5,,1,,,4,,0.3,0.07
Total:,"597,267",955,"27,365",24,"133,363","436,539","23,559",76.6,3.5
